NameString
Biruni
Gan De
Benjamin Baillaud
Benjamin Banneker
Somnath Bharadwaj
Johann Elert Bode
Alphonse Borrelly
Ira Sprague Bowen
Ismael Bullialdus
Margaret Burbidge
Annie Jump Cannon
Heinrich d'Arrest
Leonardo da Vinci
Terence Dickinson
Larry W. Esposito
J. Richard Fisher
Edwin Brant Frost
Kiichir_ Furukawa
Gordon J. Garradd
Riccardo Giacconi
Alyssa A. Goodman
Abu Sa'id Gorgani
"Bengt Gustafsson,"
Lisa Harvey-Smith
Abraham bar Hiyya
Caroline Herschel
Ejnar Hertzsprung
Johannes Hevelius
John Russell Hind
Masanori Hirasawa
Helen Sawyer Hogg
Jeremiah Horrocks
Josef Allen Hynek
Shun-ei Izumikawa
Jeffrey Owen Katz
Nobuhiro Kawasato
Urbain Le Verrier
Christopher McKee
William H. McCrea
Bruce A. McIntosh
Aden Baker Meinel
Rudolph Minkowski
Harutaro Murakami
Pieter Oosterhoff
Vladimír Porub_an
Charles Pritchard
M. Shahid Qureshi
David Rittenhouse
Roger of Hereford
Sir Edward Sabine
Allan Rex Sandage
Frank Schlesinger
Shibukawa Shunkai
Yoshisada Shimizu
F. J. M. Stratton
Nicholas Suntzeff
Atsushi Takahashi
Friedrich Tietjen
Clyde W. Tombaugh
Nasir al-Din Tusi
Peter van de Kamp
Godefroy Wendelin
Anne Sewell Young
George Ogden Abell
Paul Oswald Ahnert
Julius Bauschinger
Charles L. Bennett
Josep Comas i Solà
Heber Doust Curtis
Alexander Dalgarno
Andre Louis Danjon
Audrey C. Delsanti
Ewine van Dishoeck
Dmitrij I. Dubyago
Frank Watson Dyson
Frank K. Edmondson
Johann Franz Encke
Johannes Fabricius
Charles Fehrenbach
Camille Flammarion
Honoré Flaugergues
Williamina Fleming
Shigehisa Fujikawa
George Ellery Hale
Karl Ludwig Hencke
Kiyotsugu Hirayama
Russell Alan Hulse
Thomas John Hussey
Christiaan Huygens
Jamal Nazrul Islam
Benjamin Jekhowsky
Donald Lynden-Bell
Adriaan van Maanen
Janet Akyüz Mattei
Robert S. McMillan
Robert H. McNaught
Johan Maurits Mohr
"bin Musa, Muhammad"
Hans-Emil Schuster
Karl Schwarzschild
George Mary Searle
Qutb eddin Shirazi
David J. Stevenson
Edward James Stone
Kip Stephen Thorne
Hermann Carl Vogel
Walcher of Malvern
George Wallerstein
James Craig Watson
Walter Sydney Adams
George Biddell Airy
Marie Henri Andoyer
Jean Sylvain Bailly
Guillaume Bigourdan
John Gatenby Bolton
William Cranch Bond
Edward L. G. Bowell
Ronald N. Bracewell
"Robert Burnham, Jr."
Nicolaus Copernicus
Leopold Courvoisier
Raymond Smith Dugan
Hermann Goldschmidt
François Gonnessiat
